baseline_hazards
0.0
0.0
3.519816858371253e-05
4.8293055261302e-05
5.310389345868336e-05
4.488379130579923e-05
6.195532410965623e-05
8.484324856314423e-05
5.587229676333679e-05
7.991877778500588e-05
5.3710151608292346e-05
1.933025499022614e-05
