option,gender,c-td,c-index,auc
"{'nodes': [10, 20, 40, 40, 20], 'batch': 4096, 'decay': 0, 'lr_rate': 0.05, 'index': 43}",female,0.6157,0.9517,0.9324
"{'nodes': [10, 20, 40, 40, 20], 'batch': 4096, 'decay': 0, 'lr_rate': 0.01, 'index': 44}",female,0.5428,0.9276,0.9113
"{'nodes': [10, 20, 40, 40, 20], 'batch': 4096, 'decay': 0, 'lr_rate': 0.005, 'index': 45}",female,0.3412,0.8607,0.8457
"{'nodes': [10, 20, 40, 40, 20], 'batch': 4096, 'decay': 0, 'lr_rate': 0.001, 'index': 46}",female,0.5389,0.929,0.9123
"{'nodes': [10, 20, 40, 40, 20], 'batch': 4096, 'decay': 0, 'lr_rate': 0.0005, 'index': 47}",female,0.5887,0.966,0.9456
"{'nodes': [10, 20, 40, 40, 20], 'batch': 4096, 'decay': 0, 'lr_rate': 0.0001, 'index': 48}",female,0.5318,0.8933,0.877
"{'nodes': [10, 20, 40, 40, 20], 'batch': 2048, 'decay': 0, 'lr_rate': 0.1, 'index': 49}",female,0.4970000000000001,0.8859,0.8698
"{'nodes': [10, 20, 40, 40, 20], 'batch': 2048, 'decay': 0, 'lr_rate': 0.05, 'index': 50}",female,0.3685,0.9144,0.8971
"{'nodes': [10, 20, 40, 40, 20], 'batch': 2048, 'decay': 0, 'lr_rate': 0.01, 'index': 51}",female,0.456,0.8029999999999999,0.7918
"{'nodes': [10, 20, 40, 40, 20], 'batch': 2048, 'decay': 0, 'lr_rate': 0.005, 'index': 52}",female,0.4651,0.8933,0.8773
"{'nodes': [10, 20, 40, 40, 20], 'batch': 2048, 'decay': 0, 'lr_rate': 0.001, 'index': 53}",female,0.6661,0.9457,0.9275
"{'nodes': [10, 20, 40, 40, 20], 'batch': 2048, 'decay': 0, 'lr_rate': 0.0005, 'index': 54}",female,0.3353,0.7234,0.7135
"{'nodes': [10, 20, 40, 40, 20], 'batch': 2048, 'decay': 0, 'lr_rate': 0.0001, 'index': 55}",female,0.6163,0.9578,0.9395
"{'nodes': [10, 20, 40, 40, 20], 'batch': 1024, 'decay': 0, 'lr_rate': 0.1, 'index': 56}",female,0.5606,0.9096,0.8946
"{'nodes': [10, 20, 40, 40, 20], 'batch': 1024, 'decay': 0, 'lr_rate': 0.05, 'index': 57}",female,0.4621,0.8832,0.8691
"{'nodes': [10, 20, 40, 40, 20], 'batch': 1024, 'decay': 0, 'lr_rate': 0.01, 'index': 58}",female,0.5928,0.9385,0.9205
"{'nodes': [10, 20, 40, 40, 20], 'batch': 1024, 'decay': 0, 'lr_rate': 0.005, 'index': 59}",female,0.4566,0.8515,0.8376
"{'nodes': [10, 20, 40, 40, 20], 'batch': 1024, 'decay': 0, 'lr_rate': 0.001, 'index': 60}",female,0.4072,0.8868,0.8708
"{'nodes': [10, 20, 40, 40, 20], 'batch': 1024, 'decay': 0, 'lr_rate': 0.0005, 'index': 61}",female,0.5203,0.9093,0.892
"{'nodes': [10, 20, 40, 40, 20], 'batch': 1024, 'decay': 0, 'lr_rate': 0.0001, 'index': 62}",female,0.6525,0.9461,0.9267
"{'nodes': [10, 20, 40, 40, 20], 'batch': 4096, 'decay': 0, 'lr_rate': 0.1, 'index': 63}",female,0.5341,0.8797,0.8645
"{'nodes': [10, 20, 40, 40, 20], 'batch': 4096, 'decay': 0, 'lr_rate': 0.05, 'index': 64}",female,0.4632,0.9258,0.9083
"{'nodes': [10, 20, 40, 40, 20], 'batch': 4096, 'decay': 0, 'lr_rate': 0.01, 'index': 65}",female,0.5133,0.9335,0.9156
"{'nodes': [10, 20, 40, 40, 20], 'batch': 4096, 'decay': 0, 'lr_rate': 0.005, 'index': 66}",female,0.5032,0.92,0.903
"{'nodes': [10, 20, 40, 40, 20], 'batch': 4096, 'decay': 0, 'lr_rate': 0.001, 'index': 67}",female,0.5915,0.9564,0.9367
"{'nodes': [10, 20, 40, 40, 20], 'batch': 4096, 'decay': 0, 'lr_rate': 0.0005, 'index': 68}",female,0.5416,0.9194,0.9034
"{'nodes': [10, 20, 40, 40, 20], 'batch': 4096, 'decay': 0, 'lr_rate': 0.0001, 'index': 69}",female,0.5996,0.9637,0.9437
"{'nodes': [10, 20, 40, 40, 20], 'batch': 2048, 'decay': 0, 'lr_rate': 0.1, 'index': 70}",female,0.3243,0.8337,0.8201
