option,gender,c-td,c-index,auc
"{'weighted_decay': 0, 'nodes': [10, 20, 40], 'lr_rate': 0.0001, 'batch': 4096, 'decay': 0, 'index': 0}",male,0.3983,0.8419,0.8145
"{'weighted_decay': 0, 'nodes': [10, 20, 40, 20], 'lr_rate': 0.0001, 'batch': 4096, 'decay': 0, 'index': 1}",male,0.4823,0.9297,0.8958
"{'weighted_decay': 0, 'nodes': [10, 20, 40, 40, 20], 'lr_rate': 0.0001, 'batch': 4096, 'decay': 0, 'index': 2}",male,0.5082,0.9365,0.9026
"{'weighted_decay': 0, 'nodes': [10, 20, 40, 40, 20], 'lr_rate': 0.0001, 'batch': 4096, 'decay': 0, 'index': 3}",male,0.4508,0.9139,0.8809
"{'weighted_decay': 0, 'nodes': [10, 20, 40, 40, 20, 10], 'lr_rate': 0.0001, 'batch': 4096, 'decay': 0, 'index': 4}",male,0.5713,0.9621,0.925
"{'weighted_decay': 0, 'nodes': [10, 20, 40, 40, 40, 20], 'lr_rate': 0.0001, 'batch': 4096, 'decay': 0, 'index': 5}",male,0.4663,0.9440000000000001,0.9093
"{'nodes': [10, 20, 40], 'lr_rate': 0.0001, 'batch': 4096, 'weighted_decay': 0, 'decay': 0, 'index': 0}",male,0.6463,0.9395,0.9061
"{'nodes': [10, 20, 40, 20], 'lr_rate': 0.0001, 'batch': 4096, 'weighted_decay': 0, 'decay': 0, 'index': 1}",male,0.4819,0.8583,0.8295
"{'nodes': [10, 20, 40, 40, 20], 'lr_rate': 0.0001, 'batch': 4096, 'weighted_decay': 0, 'decay': 0, 'index': 2}",male,0.4729,0.838,0.8135
"{'nodes': [10, 20, 40, 40, 20], 'lr_rate': 0.0001, 'batch': 4096, 'weighted_decay': 0, 'decay': 0, 'index': 3}",male,0.5802,0.9489,0.9156
"{'nodes': [10, 20, 40, 40, 20, 10], 'lr_rate': 0.0001, 'batch': 4096, 'weighted_decay': 0, 'decay': 0, 'index': 4}",male,0.4962,0.9613,0.9236
"{'nodes': [10, 20, 40, 40, 40, 20], 'lr_rate': 0.0001, 'batch': 4096, 'weighted_decay': 0, 'decay': 0, 'index': 5}",male,0.5124,0.9135,0.8813
"{'nodes': [10, 20, 40], 'lr_rate': 0.0001, 'batch': 2048, 'weighted_decay': 0, 'decay': 0, 'index': 6}",male,0.535,0.9223,0.8888
"{'nodes': [10, 20, 40, 20], 'lr_rate': 0.0001, 'batch': 2048, 'weighted_decay': 0, 'decay': 0, 'index': 7}",male,0.4326,0.8356,0.8081
"{'nodes': [10, 20, 40, 40, 20], 'lr_rate': 0.0001, 'batch': 2048, 'weighted_decay': 0, 'decay': 0, 'index': 8}",male,0.4296,0.8441,0.8167
"{'nodes': [10, 20, 40, 40, 20], 'lr_rate': 0.0001, 'batch': 2048, 'weighted_decay': 0, 'decay': 0, 'index': 9}",male,0.4288,0.9079999999999999,0.8738
"{'nodes': [10, 20, 40, 40, 20, 10], 'lr_rate': 0.0001, 'batch': 2048, 'weighted_decay': 0, 'decay': 0, 'index': 10}",male,0.5181,0.9351,0.9025
"{'nodes': [10, 20, 40, 40, 40, 20], 'lr_rate': 0.0001, 'batch': 2048, 'weighted_decay': 0, 'decay': 0, 'index': 11}",male,0.4632,0.8987,0.8681
"{'nodes': [10, 20, 40], 'lr_rate': 0.0001, 'batch': 1024, 'weighted_decay': 0, 'decay': 0, 'index': 12}",male,0.4861,0.9179,0.8858
"{'nodes': [10, 20, 40, 20], 'lr_rate': 0.0001, 'batch': 1024, 'weighted_decay': 0, 'decay': 0, 'index': 13}",male,0.5216,0.8495,0.8226
"{'nodes': [10, 20, 40, 40, 20], 'lr_rate': 0.0001, 'batch': 1024, 'weighted_decay': 0, 'decay': 0, 'index': 14}",male,0.413,0.9137,0.8805
"{'nodes': [10, 20, 40, 40, 20], 'lr_rate': 0.0001, 'batch': 1024, 'weighted_decay': 0, 'decay': 0, 'index': 15}",male,0.5706,0.8371,0.8122
"{'nodes': [10, 20, 40, 40, 20, 10], 'lr_rate': 0.0001, 'batch': 1024, 'weighted_decay': 0, 'decay': 0, 'index': 16}",male,0.5334,0.9099,0.8798
"{'nodes': [10, 20, 40, 40, 40, 20], 'lr_rate': 0.0001, 'batch': 1024, 'weighted_decay': 0, 'decay': 0, 'index': 17}",male,0.469,0.9043,0.8748
"{'nodes': [10, 20, 40], 'lr_rate': 0.0005, 'batch': 4096, 'weighted_decay': 0, 'decay': 0, 'index': 18}",male,0.5859,0.9505,0.916
"{'nodes': [10, 20, 40, 20], 'lr_rate': 0.0005, 'batch': 4096, 'weighted_decay': 0, 'decay': 0, 'index': 19}",male,0.5323,0.9139,0.8836
"{'nodes': [10, 20, 40, 40, 20], 'lr_rate': 0.0005, 'batch': 4096, 'weighted_decay': 0, 'decay': 0, 'index': 20}",male,0.4985,0.8889,0.8586
"{'nodes': [10, 20, 40, 40, 20], 'lr_rate': 0.0005, 'batch': 4096, 'weighted_decay': 0, 'decay': 0, 'index': 21}",male,0.5217,0.9303,0.8956
"{'nodes': [10, 20, 40, 40, 20, 10], 'lr_rate': 0.0005, 'batch': 4096, 'weighted_decay': 0, 'decay': 0, 'index': 22}",male,0.4697,0.9045,0.8724
"{'nodes': [10, 20, 40, 40, 40, 20], 'lr_rate': 0.0005, 'batch': 4096, 'weighted_decay': 0, 'decay': 0, 'index': 23}",male,0.5145,0.8786,0.8487
"{'nodes': [10, 20, 40], 'lr_rate': 0.0005, 'batch': 2048, 'weighted_decay': 0, 'decay': 0, 'index': 24}",male,0.4861,0.8611,0.8323
